SentimentDate,Subject,AvgRawSentiment,NormalizedSentimentScore
2024-07-15,lincoln chafee,,
2024-07-16,jerry moran,,
2024-07-16,laphonza butler,,
2024-07-17,alex mooney,,
2024-07-17,dianne feinstein,,
2024-07-17,jerry moran,,
2024-07-17,laphonza butler,,
2024-07-18,john barrasso,,
2024-07-18,john hickenlooper,,
2024-07-19,ben sasse,,
2024-07-19,john barrasso,,
2024-07-19,mazie hirono,,
2024-07-19,ted budd,,
2024-07-20,alex mooney,,
2024-07-20,ben sasse,,
2024-07-21,alex mooney,,
2024-07-21,ben sasse,,
2024-07-21,mazie hirono,,
2024-07-22,ben sasse,,
2024-07-22,dianne feinstein,,
2024-07-23,ben sasse,,
2024-07-23,dianne feinstein,,
2024-07-23,lincoln chafee,,
2024-07-24,dianne feinstein,,
2024-07-24,evan bayh,,
2024-07-24,james lankford,,
2024-07-24,ted budd,,
2024-07-25,ben sasse,,
2024-07-25,dianne feinstein,,
2024-07-25,evan bayh,,
2024-07-25,james lankford,,
2024-07-25,john barrasso,,
2024-07-25,laphonza butler,,
2024-07-25,ted budd,,
2024-07-26,ben sasse,,
2024-07-26,dianne feinstein,,
2024-07-26,james lankford,,
2024-07-26,john barrasso,,
2024-07-26,laphonza butler,,
2024-07-27,evan bayh,,
2024-07-27,john barrasso,,
2024-07-28,james lankford,,
2024-07-28,john barrasso,,
2024-07-29,alex mooney,,
2024-07-29,dianne feinstein,,
2024-07-29,james lankford,,
2024-07-29,laphonza butler,,
2024-07-30,charles grassley,,
2024-07-30,dianne feinstein,,
2024-07-30,james lankford,,
2024-07-30,jerry moran,,
2024-07-31,ben sasse,,
2024-07-31,pete ricketts,,
2024-08-01,alex mooney,,
2024-08-01,ben sasse,,
2024-08-01,dianne feinstein,,
2024-08-01,james lankford,,
2024-08-01,john hickenlooper,,
2024-08-01,pete ricketts,,
2024-08-02,alex mooney,,
2024-08-02,ben sasse,,
2024-08-02,james lankford,,
2024-08-02,john hickenlooper,,
2024-08-03,evan bayh,,
2024-08-03,frank lautenberg,,
2024-08-03,james lankford,,
2024-08-03,john barrasso,,
2024-08-03,pete ricketts,,
2024-08-05,charles grassley,,
2024-08-05,cindy hyde-smith,,
2024-08-05,jerry moran,,
2024-08-05,pete ricketts,,
2024-08-06,cindy hyde-smith,,
2024-08-06,james lankford,,
2024-08-06,lincoln chafee,,
2024-08-07,cindy hyde-smith,,
2024-08-07,james lankford,,
2024-08-07,jerry moran,,
2024-08-07,pete ricketts,,
2024-08-08,alex mooney,,
2024-08-08,cindy hyde-smith,,
2024-08-08,dianne feinstein,,
2024-08-08,pete ricketts,,
2024-08-09,cindy hyde-smith,,
2024-08-09,jerry moran,,
2024-08-09,lincoln chafee,,
2024-08-09,pete ricketts,,
2024-08-10,dianne feinstein,,
2024-08-10,james lankford,,
2024-08-10,lincoln chafee,,
2024-08-10,pete ricketts,,
2024-08-11,cindy hyde-smith,,
2024-08-11,james lankford,,
2024-08-11,laphonza butler,,
2024-08-11,mazie hirono,,
2024-08-12,ben sasse,,
2024-08-12,james lankford,,
2024-08-12,laphonza butler,,
2024-08-12,lincoln chafee,,
2024-08-12,pete ricketts,,
2024-08-13,ben sasse,,
2024-08-13,mazie hirono,,
2024-08-14,alex mooney,,
2024-08-14,ben sasse,,
2024-08-14,cindy hyde-smith,,
2024-08-14,james lankford,,
2024-08-14,john hickenlooper,,
2024-08-14,laphonza butler,,
2024-08-14,mazie hirono,,
2024-08-15,alex mooney,,
2024-08-15,ben sasse,,
2024-08-15,dianne feinstein,,
2024-08-15,james lankford,,
2024-08-15,ted budd,,
2024-08-16,alex mooney,,
2024-08-16,ben sasse,,
2024-08-16,dianne feinstein,,
2024-08-16,frank lautenberg,,
2024-08-16,pete ricketts,,
2024-08-17,alex mooney,,
2024-08-17,ben sasse,,
2024-08-17,dianne feinstein,,
2024-08-17,john barrasso,,
2024-08-17,laphonza butler,,
2024-08-17,pete ricketts,,
2024-08-18,alex mooney,,
2024-08-18,dianne feinstein,,
2024-08-18,laphonza butler,,
2024-08-18,pete ricketts,,
2024-08-19,ben sasse,,
2024-08-19,john hickenlooper,,
2024-08-19,laphonza butler,,
2024-08-20,jerry moran,,
2024-08-20,john barrasso,,
2024-08-20,laphonza butler,,
2024-08-20,mazie hirono,,
2024-08-21,john barrasso,,
2024-08-21,john hickenlooper,,
2024-08-21,laphonza butler,,
2024-08-21,mazie hirono,,
2024-08-21,pete ricketts,,
2024-08-22,ben sasse,,
2024-08-22,dianne feinstein,,
2024-08-22,jerry moran,,
2024-08-22,john hickenlooper,,
2024-08-22,laphonza butler,,
2024-08-22,lincoln chafee,,
2024-08-23,ben sasse,,
2024-08-23,jerry moran,,
2024-08-23,lincoln chafee,,
2024-08-24,dianne feinstein,,
2024-08-24,jerry moran,,
2024-08-24,laphonza butler,,
2024-08-25,cindy hyde-smith,,
2024-08-26,alex mooney,,
2024-08-26,cindy hyde-smith,,
2024-08-26,dianne feinstein,,
2024-08-28,ben sasse,,
2024-08-28,dianne feinstein,,
2024-08-28,pete ricketts,,
2024-08-29,ben sasse,,
2024-08-29,john hickenlooper,,
2024-08-29,pete ricketts,,
2024-08-30,ben sasse,,
2024-08-30,pete ricketts,,
2024-08-31,ben sasse,,
2024-09-01,ben sasse,,
2024-09-01,evan bayh,,
